date,ridership
2024-01-01,1084
2024-01-02,2097
2024-01-03,2368
2024-01-04,2209
2024-01-05,2403
2024-01-06,2975
2024-01-07,2579
2024-01-08,2254
2024-01-09,1950
2024-01-10,2178
2024-01-11,2314
2024-01-12,2371
2024-01-13,3177
2024-01-14,1834
2024-01-15,1734
2024-01-16,1886
2024-01-17,1744
2024-01-18,2085
2024-01-19,1875
2024-01-20,2214
2024-01-21,1401
2024-01-22,2167
2024-01-23,2022
2024-01-24,2153
2024-01-25,2276
2024-01-26,2847
2024-01-27,3464
2024-01-28,1634
2024-01-29,1977
2024-01-30,2065
2024-01-31,2349
2024-02-01,2490
2024-02-02,2725
2024-02-03,4427
2024-02-04,1563
2024-02-05,2073
2024-02-06,2320
2024-02-07,2261
2024-02-08,2413
2024-02-09,2832
2024-02-10,3759
2024-02-11,2114
2024-02-12,2094
2024-02-13,2575
2024-02-14,2550
2024-02-15,2408
2024-02-16,2699
2024-02-17,3306
2024-02-18,2346
2024-02-19,1800
2024-02-20,2266
2024-02-21,2241
2024-02-22,2010
2024-02-23,2854
2024-02-24,3446
2024-02-25,2938
2024-02-26,2552
2024-02-27,2230
2024-02-28,2178
2024-02-29,1991
2024-03-01,3417
2024-03-02,5965
2024-03-03,3717
2024-03-04,2717
2024-03-05,2197
2024-03-06,2439
2024-03-07,2607
2024-03-08,2681
2024-03-09,3712
2024-03-10,3250
2024-03-11,2519
2024-03-12,2888
2024-03-13,3307
2024-03-14,2933
2024-03-15,2998
2024-03-16,6416
2024-03-17,3003
2024-03-18,1992
2024-03-19,2093
2024-03-20,2543
2024-03-21,2703
2024-03-22,2789
2024-03-23,4679
2024-03-24,2706
2024-03-25,2571
2024-03-26,2623
2024-03-27,2831
2024-03-28,3584
2024-03-29,4521
2024-03-30,6174
2024-03-31,2442
2024-04-01,2487
2024-04-02,2201
2024-04-03,2747
2024-04-04,2392
2024-04-05,3875
2024-04-06,6693
2024-04-07,4157
2024-04-08,3170
2024-04-09,2889
2024-04-10,2550
2024-04-11,2347
2024-04-12,2699
2024-04-13,5463
2024-04-14,3302
2024-04-15,2633
2024-04-16,3207
2024-04-17,2850
2024-04-18,3203
2024-04-19,3685
2024-04-20,5513
2024-04-21,2751
2024-04-22,2720
2024-04-23,3078
2024-04-24,3380
2024-04-25,3191
2024-04-26,3895
2024-04-27,6878
2024-04-28,3893
2024-04-29,2620
2024-04-30,3096
2024-05-01,3314
2024-05-02,3163
2024-05-03,4006
2024-05-04,5758
2024-05-05,3743
2024-05-06,2328
2024-05-07,3061
2024-05-08,3288
2024-05-09,3087
2024-05-10,3697
2024-05-11,5064
2024-05-12,3359
2024-05-13,2638
2024-05-14,2759
2024-05-15,3752
2024-05-16,3953
2024-05-17,3724
2024-05-18,5750
2024-05-19,2762
2024-05-20,2687
2024-05-21,4040
2024-05-22,2944
2024-05-23,3022
2024-05-24,4097
2024-05-25,6462
2024-05-26,3961
2024-05-27,3902
2024-05-28,3284
2024-05-29,3784
2024-05-30,3106
2024-05-31,3801
2024-06-01,4291
2024-06-02,1897
2024-06-03,2995
2024-06-04,2909
2024-06-05,2678
2024-06-06,2709
